Compound ID,Uniprot ID,Compound Name,Standard inchi key,Max Phase,Target Pref Name,Gene Names,Target Class,Wild type or mutant,Mutation information,PubMed ID,End Point Standard Type,End Point Standard Relation,End Point Standard Value,End Point Standard Units,Endpoint Mode of Action,Assay Format,Assay Type,Assay Sub Type,Inhibitor Type,Detection Technology,Compound concentration value,Compound concentration value units,Substrate type,Substrate Type Standard Relation,Substrate Type Standard Value,Substrate Type Standard Units,Assay cell line,Assay Description,Activity Comments,Title,Journal,Year,Volume,Issue,Authors,Annotation Comments,Assay ID,DTC Tid,DTC Activity ID,DTC Molregno,Record ID,DTC Document ID
CHEMBL101168,P23975,1-AMINOBENZOTRIAZOLE,JCXKHYLLVKZPKE-UHFFFAOYSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,IC50,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7301368,DTCC01742000,2057641,46191
CHEMBL101168,P23975,1-AMINOBENZOTRIAZOLE,JCXKHYLLVKZPKE-UHFFFAOYSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,KI,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7301369,DTCC01742000,2057641,46191
CHEMBL101250,P23975,,QDNMERQLRWGGDY-AXRJEEMOSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,10698458,IC50,=,296,NM,,cell_based,,,,,,,,,,,,The compound was tested for inhibition of [3H]norepinephrine uptake in HEK cells by expressing cDNA for human norepinephrine transporter,,"Design, synthesis and biological evaluation of 7-azatricyclodecanes: analogues of cocaine.",Bioorg. Med. Chem. Lett.,2000,10,3,"Tamiz AP, Smith MP, Kozikowski AP",,142803,DTCT0023180,1149336,DTCC00270669,906843,4077
CHEMBL1016,P23975,CANDESARTAN,HTQMVQVXFRQIKW-UHFFFAOYSA-N,3,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,IC50,=,3065.2,NM,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),,DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7269089,DTCC00228418,413969,46191
CHEMBL1016,P23975,CANDESARTAN,HTQMVQVXFRQIKW-UHFFFAOYSA-N,3,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,KI,=,3039.8,NM,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),,DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7269090,DTCC00228418,413969,46191
CHEMBL101740,P23975,CIDOXEPIN,ODQWQRRAPPTVAG-BOPFTXTBSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,9537821,KI,=,29.5,NM,,,,,,,,,,,,,,,,,,,,,,,,DTCT0023180,14758919,DTCC00106776,2111389,68566
CHEMBL101740,P23975,CIDOXEPIN,ODQWQRRAPPTVAG-BOPFTXTBSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,9537821,KI,=,29.5,NM,,,,,,,,,,,,,,,,,,,,,,,,DTCT0023180,14759568,DTCC00106776,2111389,68566
CHEMBL101899,P23975,,ZUFCXVFSSJFSOT-UHFFFAOYSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,18557608,IC50,=,121,NM,,cell_based,,,,,,,,,,,,Inhibition of norepinephrine uptake at human norepinephrine transporter expressed in MDCK-Net6 cells,,Structure-activity relationships of the cycloalkanol ethylamine scaffold: discovery of selective norepinephrine reuptake inhibitors.,J. Med. Chem.,2008,51,13,"Mahaney PE, Gavrin LK, Trybulski EJ, Stack GP, Vu TA, Cohn ST, Ye F, Belardi JK, Santilli AA, Sabatucci JP, Leiter J, Johnston GH, Bray JA, Burroughs KD, Cosmi SA, Leventhal L, Koury EJ, Zhang Y, Mugford CA, Ho DM, Rosenzweig-Lipson SJ, Platt B, Smith VA, Deecher DC",,487422,DTCT0023180,2657195,DTCC00265751,455880,30478
CHEMBL101899,P23975,,ZUFCXVFSSJFSOT-UHFFFAOYSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,18557608,KI,=,149,NM,,cell_based,,,,,,,,,,,,Displacement of [3H]nisoxetine from human norepinephrine transporter expressed in MDCK-Net6 cells,,Structure-activity relationships of the cycloalkanol ethylamine scaffold: discovery of selective norepinephrine reuptake inhibitors.,J. Med. Chem.,2008,51,13,"Mahaney PE, Gavrin LK, Trybulski EJ, Stack GP, Vu TA, Cohn ST, Ye F, Belardi JK, Santilli AA, Sabatucci JP, Leiter J, Johnston GH, Bray JA, Burroughs KD, Cosmi SA, Leventhal L, Koury EJ, Zhang Y, Mugford CA, Ho DM, Rosenzweig-Lipson SJ, Platt B, Smith VA, Deecher DC",,487421,DTCT0023180,2657166,DTCC00265751,455880,30478
CHEMBL101905,P23975,,BMNNHOAPHMYHIH-NUWOQIAWSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,10698458,IC50,=,2.2,NM,,cell_based,,,,,,,,,,,,The compound was tested for inhibition of [3H]norepinephrine uptake in HEK cells by expressing cDNA for human norepinephrine transporter,,"Design, synthesis and biological evaluation of 7-azatricyclodecanes: analogues of cocaine.",Bioorg. Med. Chem. Lett.,2000,10,3,"Tamiz AP, Smith MP, Kozikowski AP",,142803,DTCT0023180,1150450,DTCC00269662,1668755,4077
CHEMBL1020,P23975,TOLMETIN,UPSPUYADGBWSHF-UHFFFAOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,IC50,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7470544,DTCC00229841,477924,46191
CHEMBL1020,P23975,TOLMETIN,UPSPUYADGBWSHF-UHFFFAOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,KI,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7470545,DTCC00229841,477924,46191
CHEMBL102018,P23975,,NWRMTPHQJUHLJH-NOZYUVCASA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,10698458,IC50,=,110,NM,,cell_based,,,,,,,,,,,,The compound was tested for inhibition of [3H]norepinephrine uptake in HEK cells by expressing cDNA for human norepinephrine transporter,,"Design, synthesis and biological evaluation of 7-azatricyclodecanes: analogues of cocaine.",Bioorg. Med. Chem. Lett.,2000,10,3,"Tamiz AP, Smith MP, Kozikowski AP",,142803,DTCT0023180,1170412,DTCC00270720,226144,4077
CHEMBL1024,P23975,IFOSFAMIDE,HOMGKSMUEGBAAB-UHFFFAOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,IC50,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7304445,DTCC00230672,703982,46191
CHEMBL1024,P23975,IFOSFAMIDE,HOMGKSMUEGBAAB-UHFFFAOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,KI,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7304446,DTCC00230672,703982,46191
CHEMBL103,P23975,PROGESTERONE,RJKFOVLPORLFTN-LEKSSAKUSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,IC50,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7372725,DTCC00142899,1092348,46191
CHEMBL103,P23975,PROGESTERONE,RJKFOVLPORLFTN-LEKSSAKUSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,KI,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7372726,DTCC00142899,1092348,46191
CHEMBL10316,P23975,IDAZOXAN,HPMRFMKYPGXPEP-UHFFFAOYSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,8558529,IC50,>,20000,NM,,,,,,,,,,,,,,Inhibitory activity against norepinephrine (NE) uptake in rat whole brain synaptosome preparation,,Synthesis and structure-activity relationships of N-propyl-N-(4-pyridinyl)-1H-indol-1-amine (besipirdine) and related analogs as potential therapeutic agents for Alzheimer's disease.,J. Med. Chem.,1996,39,2,"Klein JT, Davis L, Olsen GE, Wong GS, Huger FP, Smith CP, Petko WW, Cornfeldt M, Wilker JC, Blitzer RD, Landau E, Haroutunian V, Martin LL, Effland RC",,193312,DTCT0023180,961334,DTCC00137754,369489,13807
CHEMBL103504,P23975,,DZQDCXYKGIEDDJ-XBBDAYDNSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,10698458,IC50,=,18,NM,,cell_based,,,,,,,,,,,,The compound was tested for inhibition of [3H]norepinephrine uptake in HEK cells by expressing cDNA for human norepinephrine transporter,,"Design, synthesis and biological evaluation of 7-azatricyclodecanes: analogues of cocaine.",Bioorg. Med. Chem. Lett.,2000,10,3,"Tamiz AP, Smith MP, Kozikowski AP",,142803,DTCT0023180,1144412,DTCC00270703,1035590,4077
CHEMBL103701,P23975,,GZWGAKOZADNOEU-NPHMYQBISA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,10698458,IC50,=,109,NM,,cell_based,,,,,,,,,,,,The compound was tested for inhibition of [3H]norepinephrine uptake in HEK cells by expressing cDNA for human norepinephrine transporter,,"Design, synthesis and biological evaluation of 7-azatricyclodecanes: analogues of cocaine.",Bioorg. Med. Chem. Lett.,2000,10,3,"Tamiz AP, Smith MP, Kozikowski AP",,142803,DTCT0023180,1152710,DTCC00270675,64705,4077
CHEMBL103936,P23975,,SKSUKRWKVAZHJI-UHFFFAOYSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,17446076,KI,=,46700,NM,,cell_based,,,,,,,,,,,,Displacement of [125I]RTI55 from human NET expressed in COS1 cell membrane,,"Synthesis, inhibition and binding of simple non-nitrogen inhibitors of monoamine transporters.",Bioorg. Med. Chem.,2007,15,12,"Petersen MD, Boye SV, Nielsen EH, Willumsen J, Sinning S, Wiborg O, Bols M",,444198,DTCT0023180,2149707,DTCC00269421,1378089,23432
CHEMBL103936,P23975,,SKSUKRWKVAZHJI-UHFFFAOYSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,17446076,KI,,,,,cell_based,,,,,,,,,,,,Inhibition of [3H]DA uptake in human NET expressed in COS1 cell membrane,Not Determined,"Synthesis, inhibition and binding of simple non-nitrogen inhibitors of monoamine transporters.",Bioorg. Med. Chem.,2007,15,12,"Petersen MD, Boye SV, Nielsen EH, Willumsen J, Sinning S, Wiborg O, Bols M",,444201,DTCT0023180,2150040,DTCC00269421,1378089,23432
CHEMBL104,P23975,CLOTRIMAZOLE,VNFPBHJOKIVQEB-UHFFFAOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,IC50,=,7936,NM,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),,DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7356553,DTCC00143452,1960074,46191
CHEMBL104,P23975,CLOTRIMAZOLE,VNFPBHJOKIVQEB-UHFFFAOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,KI,=,7870,NM,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),,DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7356554,DTCC00143452,1960074,46191
CHEMBL1042,P23975,CHOLECALCIFEROL,QYSXJUFSXHHAJI-YRZJJWOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,IC50,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7351771,DTCC00235252,1992802,46191
CHEMBL1042,P23975,CHOLECALCIFEROL,QYSXJUFSXHHAJI-YRZJJWOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,KI,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7351772,DTCC00235252,1992802,46191
CHEMBL1046,P23975,AMINOCAPROIC ACID,SLXKOJJOQWFEFD-UHFFFAOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,IC50,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7298145,DTCC00237384,574618,46191
CHEMBL1046,P23975,AMINOCAPROIC ACID,SLXKOJJOQWFEFD-UHFFFAOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,KI,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7298146,DTCC00237384,574618,46191
CHEMBL104673,P23975,,JJAUMTXFZLAGOI-UHFFFAOYSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,10956218,KI,=,1205,NM,,,,,,,,,,,,,,In vitro binding affinity on cloned Norepinephrine transporter,,"Novel radiotracers for imaging the serotonin transporter by positron emission tomography: synthesis, radiosynthesis, and in vitro and ex vivo evaluation of (11)C-labeled 2-(phenylthio)araalkylamines.",J. Med. Chem.,2000,43,16,"Wilson AA, Ginovart N, Schmidt M, Meyer JH, Threlkeld PG, Houle S",,142937,DTCT0023180,565161,DTCC00274975,853566,15844
CHEMBL104700,P23975,,SCDKHPSUXHBJDJ-UHFFFAOYSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,22607684,INHIBITION,<,50,%,,,,,,,,,,,,,,Inhibition of NET at 10 uM,,7-Azabicyclo[2.2.1]heptane as a scaffold for the development of selective sigma-2 (s(2)) receptor ligands.,Bioorg. Med. Chem. Lett.,2012,22,12,"Banister SD, Rendina LM, Kassiou M",,818156,DTCT0023180,10478144,DTCC00272114,931177,48255
CHEMBL105,P23975,MITOMYCIN,NWIBSHFKIJFRCO-WUDYKRTCSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,IC50,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7430527,DTCC00143504,542580,46191
CHEMBL105,P23975,MITOMYCIN,NWIBSHFKIJFRCO-WUDYKRTCSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,KI,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7430528,DTCC00143504,542580,46191
CHEMBL1054,P23975,TRICHLORMETHIAZIDE,LMJSLTNSBFUCMU-UHFFFAOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,IC50,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7448164,DTCC00242621,2025646,46191
CHEMBL1054,P23975,TRICHLORMETHIAZIDE,LMJSLTNSBFUCMU-UHFFFAOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,KI,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7448165,DTCC00242621,2025646,46191
CHEMBL1055,P23975,CHLORTHALIDONE,JIVPVXMEBJLZRO-UHFFFAOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,IC50,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7343209,DTCC00242796,1798406,46191
