Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4105127,,0,487.97,0,2.22,14,CCCOC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(Cl)s4)nc31)[C@H](O)[C@@H]2O,EC50,'=',980,nM,6.01,,,UO_0000065,12.31,0.25,3.79,4.91,FALSE,CHEMBL4011342,Enhancing of [125I]RTI-55 binding to recombinant human NET expressed in HEK293 cell membranes preincubated for 10 mins followed by radioligand addition measured after 90 mins by micro beta scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4007505,1,Scientific Literature,J Med Chem,2017,CHEMBL3307715,
CHEMBL3612932,,0,486.99,0,1.79,7,CCCNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)NC)C[C@H]12,Activity,'=',159,%,,,,UO_0000187,,,,,FALSE,CHEMBL4011342,Enhancing of [125I]RTI-55 binding to recombinant human NET expressed in HEK293 cell membranes preincubated for 10 mins followed by radioligand addition measured after 90 mins by micro beta scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4007505,1,Scientific Literature,J Med Chem,2017,CHEMBL3307715,
CHEMBL4066973,,0,459.92,0,1.44,9,CNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OC)C[C@H]12,EC50,'>',10000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL4011344,Enhancing of [3H]mazindol binding to recombinant human NET expressed in HEK293 cell membranes preincubated for 10 mins followed by radioligand addition measured after 90 mins by micro beta scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4007505,1,Scientific Literature,J Med Chem,2017,CHEMBL3307715,
CHEMBL4071830,,0,504.37,1,1.55,11,CNc1nc(C#Cc2ccc(Br)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OC)C[C@H]12,EC50,'>',10000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL4011344,Enhancing of [3H]mazindol binding to recombinant human NET expressed in HEK293 cell membranes preincubated for 10 mins followed by radioligand addition measured after 90 mins by micro beta scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4007505,1,Scientific Literature,J Med Chem,2017,CHEMBL3307715,
CHEMBL369997,,0,313.47,0,4.86,4y,CCCC(C(=O)c1ccc(-c2cccs2)cc1)N1CCCC1,IC50,'=',263,nM,6.58,,,UO_0000065,,,,,FALSE,CHEMBL859244,Inhibition of [3H] norepinephrine uptake into human NET expressed in HEK293 cells,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1138144,1,Scientific Literature,J. Med. Chem.,2006,CHEMBL3307715,
CHEMBL204759,,0,281.4,0,4.29,4t,CCCC(C(=O)c1ccc2ccccc2c1)N1CCCC1,IC50,'=',11.7,nM,7.93,,,UO_0000065,,,,,FALSE,CHEMBL859244,Inhibition of [3H] norepinephrine uptake into human NET expressed in HEK293 cells,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1138144,1,Scientific Literature,J. Med. Chem.,2006,CHEMBL3307715,
CHEMBL249134,,0,250.34,0,3.38,10f,CN(C)CC1CC1c1ccc2cc(C#N)ccc2c1,IC50,'=',560,nM,6.25,,,UO_0000065,24.97,0.45,2.87,23.13,FALSE,CHEMBL941900,Inhibition of NET,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1139814,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL1065,METHYSERGIDE,0,353.47,0,1.94,METHYSERGIDE,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL4165749,,0,527.43,1,4.24,None,O=C(NC[C@H]1[C@@H]2CN(C(=O)OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C[C@H]12)c1ccc2[nH]nnc2c1,Inhibition,'=',15.48,%,,,Not Active,UO_0000187,,,,,FALSE,CHEMBL4507818,GPCRScan assay: inhibition of NET,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,Parental cells: stable HEK | PMID: 2086242/17156375 | Protein length: full-length | Radioligand conc. used [nM]: 1.3 â 5.0 | Radioligand Kd None 3.83 nM | Radioligand name: [3H]-Nisoxetine | Radioligand pKd None 8.42 None | Radioligand pKd Â± SEM None 0.06 None | Reference ligand: Desipramine | Reference ligand Ki None 2.24 nM | Reference ligand pKi None 8.65 None | Reference ligand pKi  Â± SEM None 0.01 None,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4507275,54,Donated Chemical Probes - SGC Frankfurt,,,None,Compound concentration None 10.0 uM
CHEMBL833,TICLOPIDINE,4,263.79,0,3.96,TICLOPIDINE,Clc1ccccc1CN1CCc2sccc2C1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL370805,COCAINE,4,303.36,0,1.87,cocaine,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,Ki,'=',264,nM,6.58,,,UO_0000065,21.69,0.41,4.71,11.78,FALSE,CHEMBL752762,Compound was evaluated for inhibition of [3H]NE uptake in HEK-hNET cells expressing Human norepinephrine transporter,B,BAO_0000219,cell-based format,None,None,None,HEK-hNET,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1133189,1,Scientific Literature,J. Med. Chem.,2000,None,
CHEMBL1650,CORTISONE ACETATE,4,402.49,0,2.56,CORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL497339,,0,285.36,0,3.6,11,CNCCCC1(c2ccc(F)cc2)OCc2ccccc21,Inhibition,'=',19.6,%,,,,UO_0000187,,,,,FALSE,CHEMBL953227,Inhibition of [3H]dopamine reuptake at human NET expressed in african green monkey COS7 cells at 100 nM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,COS-7,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1150287,1,Scientific Literature,J. Med. Chem.,2008,CHEMBL3307648,
CHEMBL134,CLONIDINE,4,230.1,0,2.17,CLONIDINE,Clc1cccc(Cl)c1N=C1NCCN1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL1224224,,0,281.36,0,2.37,8,CN(C)CCC(c1ccc2ccccc2c1)n1ncnn1,Inhibition,'=',30,%,,,,UO_0000187,,,,,FALSE,CHEMBL1228921,Inhibition of norepinephrine reuptake at human NET expressed in MDCK cells at 100 uM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MDCK,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1221386,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,CHEMBL3308370,
CHEMBL3323174,,0,309.43,0,4.49,10b,COc1ccc2c(c1)CN(C)CC2c1ccc2sccc2c1,IC50,'=',5,nM,8.3,,,UO_0000065,26.83,0.52,3.81,66.57,FALSE,CHEMBL3379356,Displacement of [3H]Nisoxetine from human NET expressed in HEK293E cells after 1 hr by liquid scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293E,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3351632,1,Scientific Literature,ACS Med. Chem. Lett.,2014,None,
CHEMBL3323090,,0,263.34,0,4.01,3b,CN1Cc2ccccc2C(c2ccc3ccoc3c2)C1,IC50,'=',5.2,nM,8.28,,,UO_0000065,31.46,0.57,4.27,50.57,FALSE,CHEMBL3379356,Displacement of [3H]Nisoxetine from human NET expressed in HEK293E cells after 1 hr by liquid scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293E,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3351632,1,Scientific Literature,ACS Med. Chem. Lett.,2014,None,
CHEMBL563117,,0,310.4,0,3.3,11aa,CCN(C(=O)c1ccccc1Oc1ccccc1)[C@H]1CCNC1,Ki,'=',9,nM,8.05,,,UO_0000065,25.92,0.48,4.75,19.35,FALSE,CHEMBL1062482,Displacement of [3H]nisoxetine from human recombinant NET expressed in HEK293 cells by scintillation proximity assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1153484,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009,CHEMBL3307715,
CHEMBL563897,,0,325.41,0,1.99,10,CCn1c(=O)n([C@@H](c2ccccc2)[C@H](O)CNC)c2ccccc21,IC50,'=',17.5,nM,7.76,,,UO_0000065,23.84,0.44,5.77,13.11,FALSE,CHEMBL1055024,Inhibition of [3H]norepinephrine uptake at human NET expressed in MDCK-Net6 cells by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MDCK-Net6,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1153531,1,Scientific Literature,J. Med. Chem.,2009,None,
CHEMBL564288,,0,319.45,0,3.97,18,c1ccc(CCN(c2ccc3[nH]ccc3c2)C2CCNCC2)cc1,Ki,'=',50.12,nM,7.3,,,UO_0000065,22.85,0.42,3.33,23.5,FALSE,CHEMBL1051045,Inhibition of NET,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1153074,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009,None,
CHEMBL3612831,,0,387.53,0,4.31,7h,O=C(NCCCN1CCC(Cc2ccccc2)CC1)c1ccc2ccccc2n1,Ratio,'=',0.62,,,,,,,,,,FALSE,CHEMBL3614496,Inhibition of human NET expressed in HEK293 cells assessed as reduction of serotonin reuptake using [3H]-NET at 3 uM after 15 mins by liquid scintillation counting relative to venlafaxine HCl,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3611988,1,Scientific Literature,Bioorg. Med. Chem.,2015,CHEMBL3307715,
CHEMBL3608450,,0,415.49,0,4.77,5a,COc1cc2c3c(c1OC)-c1cc4c(cc1CC3N(C)CC2c1ccccc1)OCO4,Inhibition,'<',50,%,,,,UO_0000187,,,,,FALSE,CHEMBL3610516,Binding affinity to NET (unknown origin) at 10 uM,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3608284,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2015,None,
CHEMBL562476,,0,280.37,0,2.81,5,CNC[C@@H](O)[C@H](c1ccccc1)n1ccc2ccccc21,IC50,'=',28,nM,7.55,,,UO_0000065,26.94,0.49,4.74,20.31,TRUE,CHEMBL1055024,Inhibition of [3H]norepinephrine uptake at human NET expressed in MDCK-Net6 cells by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MDCK-Net6,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1153531,1,Scientific Literature,J. Med. Chem.,2009,None,
CHEMBL551818,,0,323.42,0,4.07,22,Fc1ccc(CN(c2ccc3[nH]ccc3c2)C2CCNCC2)cc1,Ki,'=',251.19,nM,6.6,,,UO_0000065,20.41,0.38,2.53,21.25,FALSE,CHEMBL1051045,Inhibition of NET,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1153074,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009,None,
CHEMBL841,LOPERAMIDE,4,477.05,1,5.09,LOPERAMIDE,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL565396,,0,284.2,0,3.41,1d,CC(NC(C)(C)C)C(=O)c1cccc(Br)c1,IC50,'=',6500,nM,5.19,,,UO_0000065,18.25,0.44,1.78,17.83,FALSE,CHEMBL1041763,Inhibition of [3H]norepinephrine reuptake at human NET expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1156106,1,Scientific Literature,J. Med. Chem.,2009,CHEMBL3307715,
CHEMBL375685,,0,453.45,1,6.61,4m,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4ccc(Br)cc4)s2)N3C)cc1,Ki,'=',4240,nM,5.37,,,UO_0000065,11.85,0.26,-1.24,33.31,FALSE,CHEMBL890742,Displacement of [125I]RTI-55 from human NET expressed in HEK cells after 90 mins,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1146223,1,Scientific Literature,J. Med. Chem.,2007,CHEMBL3307715,
CHEMBL1080389,,0,441.51,0,4.96,3h,C[C@H]1CN(C(=O)c2ccc(-c3ccccc3F)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,Ki,'>',10000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL1101957,Inhibition of NET,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1154934,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,None,
