,Molecule_ChEMBL_ID,Molecule_Name,Molecule_Max_Phase,Molecular_Weight,#RO5_Violations,AlogP,Compound_Key,Smiles,Standard_Type,Standard_Relation,Standard_Value,Standard_Units,pChEMBL_Value,Data_Validity_Comment,Comment,Uo_Units,Ligand_Efficiency_BEI,Ligand_Efficiency_LE,Ligand_Efficiency_LLE,Ligand_Efficiency_SEI,Potential_Duplicate,Assay_ChEMBL_ID,Assay_Description,Assay_Type,BAO_Format_ID,BAO_Label,Assay_Organism,Assay_Tissue_ChEMBL_ID,Assay_Tissue_Name,Assay_Cell_Type,Assay_Subcellular_Fraction,Assay_Parameters,Assay_Variant_Accession,Assay_Variant_Mutation,Target_ChEMBL_ID,Target_Name,Target_Organism,Target_Type,Document_ChEMBL_ID,Source_ID,Source_Description,Document_Journal,Document_Year,Cell_ChEMBL_ID,Properties,Standard_Value_nM,base_rdkit_smiles
10,CHEMBL455447,,0.0,267.37,0.0,3.51,3,CNC[C@@H]1Cc2ccccc2[C@@H]1Oc1ccccc1C,IC50,'=',10.0,nM,8.0,,,UO_0000065,29.92,0.55,4.49,37.63,False,CHEMBL995197,Inhibition of norepinephrine uptake at human NET expressed in HEK cells,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1156582,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008.0,CHEMBL3307715,,10.0,CNC[C@@H]1Cc2ccccc2[C@@H]1Oc1ccccc1C
11,CHEMBL3310480,,0.0,406.23,1.0,5.62,2an,FC(F)(F)Oc1cccc(OC(CC2CNC2)c2ccc(Cl)c(Cl)c2)c1,Inhibition,'=',100.0,%,,,,UO_0000187,,,,,False,CHEMBL3364219,Inhibition of norepinephrine reuptake at human NET expressed in HEK293 cells at 10 uM after 15 mins by fluorescence neurotransmitter transporter assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3352322,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014.0,CHEMBL3307715,,100.0,FC(F)(F)Oc1cccc(OC(CC2CNC2)c2ccc(Cl)c(Cl)c2)c1
12,CHEMBL818,IOBENGUANE,4.0,275.09,0.0,1.27,mIBG,N=C(N)NCc1cccc(I)c1,Drug uptake,,,,,,Active,,,,,,False,CHEMBL3293095,Cellular uptake in human SK-N-SH cells assessed as noradrenaline transporter-mediated uptake at 1 x 10'-4 M after 15 mins by [3H]-noradrenaline uptake assay,A,BAO_0000219,cell-based format,Homo sapiens,,,SK-N-SH,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3286231,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014.0,CHEMBL3307745,,,N=C(N)NCc1cccc(I)c1
13,CHEMBL3310622,,0.0,356.68,1.0,5.38,2ah,Clc1ccc(OC(CC2CNC2)c2ccc(Cl)c(Cl)c2)cc1,Inhibition,'=',96.0,%,,,,UO_0000187,,,,,False,CHEMBL3363911,Inhibition of norepinephrine reuptake at human NET expressed in HEK293 cells at 1 uM after 15 mins by fluorescence neurotransmitter transporter assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3352322,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014.0,CHEMBL3307715,,96.0,Clc1ccc(OC(CC2CNC2)c2ccc(Cl)c(Cl)c2)cc1
14,CHEMBL4066427,,0.0,383.25,0.0,3.03,23; RTI-55,COC(=O)[C@H]1[C@@H](c2ccc([125I])cc2)CC2CC[C@H]1N2C,EC50,,,,,,Not Determined,,,,,,False,CHEMBL4011342,Enhancing of [125I]RTI-55 binding to recombinant human NET expressed in HEK293 cell membranes preincubated for 10 mins followed by radioligand addition measured after 90 mins by micro beta scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4007505,1,Scientific Literature,J Med Chem,2017.0,CHEMBL3307715,,,COC(=O)[C@H]1[C@@H](c2ccc(I)cc2)CC2CC[C@H]1N2C
15,CHEMBL3350391,,0.0,342.43,0.0,4.27,4a,CN1[C@H]2CC[C@@H]1C[C@H](NC(c1ccc(F)cc1)c1ccc(F)cc1)C2,Ki,'=',1810.0,nM,5.74,,,UO_0000065,16.77,0.31,1.47,37.61,False,CHEMBL863452,Displacement of [3H]nisoxetine from NET,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1141240,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005.0,,,1810.0,CN1[C@H]2CC[C@@H]1C[C@H](NC(c1ccc(F)cc1)c1ccc(F)cc1)C2
16,CHEMBL4105127,,0.0,487.97,0.0,2.22,14,CCCOC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(Cl)s4)nc31)[C@H](O)[C@@H]2O,EC50,'=',980.0,nM,6.01,,,UO_0000065,12.31,0.25,3.79,4.91,False,CHEMBL4011342,Enhancing of [125I]RTI-55 binding to recombinant human NET expressed in HEK293 cell membranes preincubated for 10 mins followed by radioligand addition measured after 90 mins by micro beta scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4007505,1,Scientific Literature,J Med Chem,2017.0,CHEMBL3307715,,980.0,CCCOC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(Cl)s4)nc31)[C@H](O)[C@@H]2O
17,CHEMBL3612932,,0.0,486.99,0.0,1.79,7,CCCNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)NC)C[C@H]12,Activity,'=',159.0,%,,,,UO_0000187,,,,,False,CHEMBL4011342,Enhancing of [125I]RTI-55 binding to recombinant human NET expressed in HEK293 cell membranes preincubated for 10 mins followed by radioligand addition measured after 90 mins by micro beta scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4007505,1,Scientific Literature,J Med Chem,2017.0,CHEMBL3307715,,159.0,CCCNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)NC)C[C@H]12
18,CHEMBL4066973,,0.0,459.92,0.0,1.44,9,CNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OC)C[C@H]12,EC50,'>',10000.0,nM,,,,UO_0000065,,,,,False,CHEMBL4011344,Enhancing of [3H]mazindol binding to recombinant human NET expressed in HEK293 cell membranes preincubated for 10 mins followed by radioligand addition measured after 90 mins by micro beta scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4007505,1,Scientific Literature,J Med Chem,2017.0,CHEMBL3307715,,10000.0,CNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OC)C[C@H]12
19,CHEMBL4071830,,0.0,504.37,1.0,1.55,11,CNc1nc(C#Cc2ccc(Br)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OC)C[C@H]12,EC50,'>',10000.0,nM,,,,UO_0000065,,,,,False,CHEMBL4011344,Enhancing of [3H]mazindol binding to recombinant human NET expressed in HEK293 cell membranes preincubated for 10 mins followed by radioligand addition measured after 90 mins by micro beta scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4007505,1,Scientific Literature,J Med Chem,2017.0,CHEMBL3307715,,10000.0,CNc1nc(C#Cc2ccc(Br)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OC)C[C@H]12
20,CHEMBL369997,,0.0,313.47,0.0,4.86,4y,CCCC(C(=O)c1ccc(-c2cccs2)cc1)N1CCCC1,IC50,'=',263.0,nM,6.58,,,UO_0000065,,,,,False,CHEMBL859244,Inhibition of [3H] norepinephrine uptake into human NET expressed in HEK293 cells,F,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1138144,1,Scientific Literature,J. Med. Chem.,2006.0,CHEMBL3307715,,263.0,CCCC(C(=O)c1ccc(-c2cccs2)cc1)N1CCCC1
21,CHEMBL204759,,0.0,281.4,0.0,4.29,4t,CCCC(C(=O)c1ccc2ccccc2c1)N1CCCC1,IC50,'=',11.7,nM,7.93,,,UO_0000065,,,,,False,CHEMBL859244,Inhibition of [3H] norepinephrine uptake into human NET expressed in HEK293 cells,F,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1138144,1,Scientific Literature,J. Med. Chem.,2006.0,CHEMBL3307715,,11.7,CCCC(C(=O)c1ccc2ccccc2c1)N1CCCC1
22,CHEMBL249134,,0.0,250.34,0.0,3.38,10f,CN(C)CC1CC1c1ccc2cc(C#N)ccc2c1,IC50,'=',560.0,nM,6.25,,,UO_0000065,24.97,0.45,2.87,23.13,False,CHEMBL941900,Inhibition of NET,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1139814,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007.0,,,560.0,CN(C)CC1CC1c1ccc2cc(C#N)ccc2c1
23,CHEMBL1065,METHYSERGIDE,0.0,353.47,0.0,1.94,METHYSERGIDE,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,,,,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,,,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
24,CHEMBL4165749,,0.0,527.43,1.0,4.24,,O=C(NC[C@H]1[C@@H]2CN(C(=O)OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C[C@H]12)c1ccc2[nH]nnc2c1,Inhibition,'=',15.48,%,,,Not Active,UO_0000187,,,,,False,CHEMBL4507818,GPCRScan assay: inhibition of NET,B,BAO_0000357,single protein format,Homo sapiens,,,,,Parental cells: stable HEK | PMID: 2086242/17156375 | Protein length: full-length | Radioligand conc. used [nM]: 1.3 â 5.0 | Radioligand Kd None 3.83 nM | Radioligand name: [3H]-Nisoxetine | Radioligand pKd None 8.42 None | Radioligand pKd Â± SEM None 0.06 None | Reference ligand: Desipramine | Reference ligand Ki None 2.24 nM | Reference ligand pKi None 8.65 None | Reference ligand pKi  Â± SEM None 0.01 None,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4507275,54,Donated Chemical Probes - SGC Frankfurt,,,,Compound concentration None 10.0 uM,15.48,O=C(NC[C@H]1[C@@H]2CN(C(=O)OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C[C@H]12)c1ccc2[nH]nnc2c1
25,CHEMBL833,TICLOPIDINE,4.0,263.79,0.0,3.96,TICLOPIDINE,Clc1ccccc1CN1CCc2sccc2C1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,,,,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,,,Clc1ccccc1CN1CCc2sccc2C1
26,CHEMBL370805,COCAINE,4.0,303.36,0.0,1.87,cocaine,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,Ki,'=',264.0,nM,6.58,,,UO_0000065,21.69,0.41,4.71,11.78,False,CHEMBL752762,Compound was evaluated for inhibition of [3H]NE uptake in HEK-hNET cells expressing Human norepinephrine transporter,B,BAO_0000219,cell-based format,,,,HEK-hNET,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1133189,1,Scientific Literature,J. Med. Chem.,2000.0,,,264.0,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C
27,CHEMBL1650,CORTISONE ACETATE,4.0,402.49,0.0,2.56,CORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,,,,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,,,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C
28,CHEMBL497339,,0.0,285.36,0.0,3.6,11,CNCCCC1(c2ccc(F)cc2)OCc2ccccc21,Inhibition,'=',19.6,%,,,,UO_0000187,,,,,False,CHEMBL953227,Inhibition of [3H]dopamine reuptake at human NET expressed in african green monkey COS7 cells at 100 nM,B,BAO_0000219,cell-based format,Homo sapiens,,,COS-7,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1150287,1,Scientific Literature,J. Med. Chem.,2008.0,CHEMBL3307648,,19.6,CNCCCC1(c2ccc(F)cc2)OCc2ccccc21
29,CHEMBL134,CLONIDINE,4.0,230.1,0.0,2.17,CLONIDINE,Clc1cccc(Cl)c1N=C1NCCN1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,,,,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,,,Clc1cccc(Cl)c1N=C1NCCN1
30,CHEMBL1224224,,0.0,281.36,0.0,2.37,8,CN(C)CCC(c1ccc2ccccc2c1)n1ncnn1,Inhibition,'=',30.0,%,,,,UO_0000187,,,,,False,CHEMBL1228921,Inhibition of norepinephrine reuptake at human NET expressed in MDCK cells at 100 uM,B,BAO_0000219,cell-based format,Homo sapiens,,,MDCK,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1221386,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010.0,CHEMBL3308370,,30.0,CN(C)CCC(c1ccc2ccccc2c1)n1ncnn1
31,CHEMBL3323174,,0.0,309.43,0.0,4.49,10b,COc1ccc2c(c1)CN(C)CC2c1ccc2sccc2c1,IC50,'=',5.0,nM,8.3,,,UO_0000065,26.83,0.52,3.81,66.57,False,CHEMBL3379356,Displacement of [3H]Nisoxetine from human NET expressed in HEK293E cells after 1 hr by liquid scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293E,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3351632,1,Scientific Literature,ACS Med. Chem. Lett.,2014.0,,,5.0,COc1ccc2c(c1)CN(C)CC2c1ccc2sccc2c1
32,CHEMBL3323090,,0.0,263.34,0.0,4.01,3b,CN1Cc2ccccc2C(c2ccc3ccoc3c2)C1,IC50,'=',5.2,nM,8.28,,,UO_0000065,31.46,0.57,4.27,50.57,False,CHEMBL3379356,Displacement of [3H]Nisoxetine from human NET expressed in HEK293E cells after 1 hr by liquid scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293E,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3351632,1,Scientific Literature,ACS Med. Chem. Lett.,2014.0,,,5.2,CN1Cc2ccccc2C(c2ccc3ccoc3c2)C1
33,CHEMBL563117,,0.0,310.4,0.0,3.3,11aa,CCN(C(=O)c1ccccc1Oc1ccccc1)[C@H]1CCNC1,Ki,'=',9.0,nM,8.05,,,UO_0000065,25.92,0.48,4.75,19.35,False,CHEMBL1062482,Displacement of [3H]nisoxetine from human recombinant NET expressed in HEK293 cells by scintillation proximity assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1153484,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009.0,CHEMBL3307715,,9.0,CCN(C(=O)c1ccccc1Oc1ccccc1)[C@H]1CCNC1
34,CHEMBL563897,,0.0,325.41,0.0,1.99,10,CCn1c(=O)n([C@@H](c2ccccc2)[C@H](O)CNC)c2ccccc21,IC50,'=',17.5,nM,7.76,,,UO_0000065,23.84,0.44,5.77,13.11,False,CHEMBL1055024,Inhibition of [3H]norepinephrine uptake at human NET expressed in MDCK-Net6 cells by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,,,MDCK-Net6,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1153531,1,Scientific Literature,J. Med. Chem.,2009.0,,,17.5,CCn1c(=O)n([C@@H](c2ccccc2)[C@H](O)CNC)c2ccccc21
35,CHEMBL564288,,0.0,319.45,0.0,3.97,18,c1ccc(CCN(c2ccc3[nH]ccc3c2)C2CCNCC2)cc1,Ki,'=',50.12,nM,7.3,,,UO_0000065,22.85,0.42,3.33,23.5,False,CHEMBL1051045,Inhibition of NET,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1153074,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009.0,,,50.12,c1ccc(CCN(c2ccc3[nH]ccc3c2)C2CCNCC2)cc1
36,CHEMBL3612831,,0.0,387.53,0.0,4.31,7h,O=C(NCCCN1CCC(Cc2ccccc2)CC1)c1ccc2ccccc2n1,Ratio,'=',0.62,,,,,,,,,,False,CHEMBL3614496,Inhibition of human NET expressed in HEK293 cells assessed as reduction of serotonin reuptake using [3H]-NET at 3 uM after 15 mins by liquid scintillation counting relative to venlafaxine HCl,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3611988,1,Scientific Literature,Bioorg. Med. Chem.,2015.0,CHEMBL3307715,,0.62,O=C(NCCCN1CCC(Cc2ccccc2)CC1)c1ccc2ccccc2n1
