Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
AVSJNVNTDDYDEP-UHFFFAOYNA-N,CHEMBL465515,6530,N,4.98,chembl20,564828,9606,SLC6A2,4059,C=1C=C2C=C(CCN3CCNCC3)C=CC2=CC1F
AUOGWJKRNSZLMZ-UHFFFAOYNA-N,14571114,6530,A,6.86328,pubchem,717270,9606,SLC6A2,4059,OC1=C2C(C(CN(C2)C)C3=CC=CC=C3)=CC=C1
BXZSHOGOEKAIFQ-UHFFFAOYNA-N,11149970,6530,A,5.12194,pubchem,239411,9606,SLC6A2,4059,S(C=1C(CNCC)=CC=CC1)C=2C(N)=CC(=CC2)C
CCEQAXVCJWOVQY-UHFFFAOYNA-N,CHEMBL374634,6530,A,7.92,chembl20,423471,9606,SLC6A2,4059,C(C1=CC(=C(C=C1)Cl)Cl)(CCCC)C2NCCCC2
CDUOGEWBFIZMMS-UHFFFAOYNA-N,44411214,6530,A,7.82391,pubchem,264863,9606,SLC6A2,4059,FC=1C(CN(C2CCNCC2)CC(C)C)=CC=CC1
ACEHBQPPDDGCGZ-UHFFFAOYNA-N,CHEMBL7143,6530,A,5.2,chembl20,140882,9606,SLC6A2,4059,C1(=C(NC=2C1=CC(=CC2)OC)C)CCN(C)C
AFPBYAJYJSSEIF-UHFFFAOYNA-N,CHEMBL401070,6530,A,5.24,chembl20,457757,9606,SLC6A2,4059,C=1C=C(Cl)C(Cl)=CC1C2=CCCC2C(=O)OCCF
AEWPIBYOYSOWAL-UHFFFAOYNA-N,CHEMBL399147,6530,N,4.17,chembl20,457381,9606,SLC6A2,4059,C1(C2C(C2)CN(C)C)=C3C(C=CC=C3)=CC=C1
ABPSWEJOHYDZDP-UHFFFAOYNA-N,CHEMBL565844,6530,A,6.05,chembl20,595700,9606,SLC6A2,4059,C1=CC(=CC(=C1C)Cl)C(=O)C(NC(C)(C)C)C
BLXXJMDCKKHMKV-UHFFFAOYNA-N,CHEMBL1070,6530,A,5.73,chembl20,774705,9606,SLC6A2,4059,C=1C=C2C=C(C=CC2=CC1OC)CCC(C)=O
BJLKZFUZNNATGZ-UHFFFAOYNA-N,20695745,6530,A,5.8041,pubchem,459712,9606,SLC6A2,4059,ClC=1C=C(C(=O)C(N(C(C)(C)C)C)C)C=CC1
CLQNHTVQVGGNMJ-UHFFFAOYNA-N,53317145,6530,A,7.20066,pubchem,578387,9606,SLC6A2,4059,ClC=1C=C(C2(CCCC2)CN(C)C)C=CC1Cl
CFVHNYYHCCJXDK-UHFFFAOYNA-N,CHEMBL605501,6530,A,5.55,chembl20,610770,9606,SLC6A2,4059,C1=CC(=CC(=C1)F)C(=O)C(NC2CCCC2)C
CZIHNRWJTSTCEX-WYUMXYHSNA-N,CHEMBL311469,6530,A,5.07,chembl20,774705,9606,SLC6A2,4059,C=1C(NC(=O)C)=CC=C2C1CC3=CC=CC=C23
CSORZJPQPTUVAO-UHFFFAOYNA-N,CHEMBL396083,6530,N,3.1,chembl20,444198,9606,SLC6A2,4059,C=1CCC(C(OC)=O)C1C=2C=CC(C(C)(C)C)=CC2
AIVSIRYZIBXTMM-UHFFFAOYNA-N,CHEMBL534479,6530,A,6.32,chembl20,306535,9606,SLC6A2,4059,C(C(=O)OCC)(C1NCCCC1)C=2C=CC=CC2
BDGQOYDELXXRKV-UHFFFAOYNA-N,CHEMBL258449,6530,A,6.55,chembl20,479729,9606,SLC6A2,4059,N1=CC(=C(OC2=CC=C(C=C2OC)Cl)C=C1)CNC
DJLLHNLJLSEKHJ-UHFFFAOYNA-N,CHEMBL219116,6530,A,7.96,chembl20,423472,9606,SLC6A2,4059,C(C1=CC=C(C=C1)Cl)(C(OC)=O)C2NCCCC2
FXPKVPDERQMXMV-UHFFFAOYNA-N,CHEMBL186962,6530,A,6.54,chembl20,303519,9606,SLC6A2,4059,C1=C(C(OC2=CC=CC=C2CN(C)C)=CC=C1I)N
FXQBHPKGRGPIKE-UHFFFAOYNA-N,44592197,6530,A,5.85387,pubchem,416799,9606,SLC6A2,4059,O(CC1CCNC1)C2=CC=3C(C=C2)=CC=CC3
DNVMLFGJFSQQDE-UHFFFAOYNA-N,CHEMBL599230,6530,A,5.93,chembl20,610770,9606,SLC6A2,4059,C1=CC(=CC(=C1)Br)C(=O)C(N2CCCCC2)C
DUGOZIWVEXMGBE-UHFFFAOYNA-N,9280,6530,A,7.29243,pubchem,242441,9606,SLC6A2,4059,O(C(=O)C(C1NCCCC1)C2=CC=CC=C2)C
GERXQBAMNMPZEL-UHFFFAOYNA-N,CHEMBL249213,6530,N,3.6,chembl20,457757,9606,SLC6A2,4059,C=1C=C(Cl)C(Cl)=CC1C2=CCCC2C(=O)N(C)OC
GJZLKOFEVPDZQZ-UHFFFAOYNA-N,44411517,6530,A,7.21467,pubchem,264863,9606,SLC6A2,4059,FC(F)(F)C=1C(CN(C2CCNCC2)CC)=CC=CC1
GKLBYRWONWNFAJ-UHFFFAOYNA-N,CHEMBL232867,6530,N,3.62,chembl20,444198,9606,SLC6A2,4059,C=1CCC(C(OC)=O)C1C2=CC=C(C=C2)C(C)=O
GDFYRFGZPIJLGQ-LBPRGKRZNA-N,71812204,6530,A,7.82391,pubchem,761326,9606,SLC6A2,4059,ClC=1C=C([C@H](C2CCNCC2)COC)C=CC1Cl
FVGVWOXQWDAFTQ-YAQRNVERNA-N,CHEMBL155359,6530,N,4.77,chembl20,193312,9606,SLC6A2,4059,N1(N=CC2=C1C=CC=C2)NC=3C=CN=CC3
FVPYKEUHDWGTTO-UHFFFAOYNA-N,CHEMBL1683894,6530,A,6.69,chembl20,726927,9606,SLC6A2,4059,C1CCCCC1(C2=CC=C(C=C2)F)CN(C)C
DLXDOKNGJXKCNQ-UHFFFAOYNA-N,49799634,6530,A,5.61261,pubchem,491170,9606,SLC6A2,4059,ClC1=CC(C2(OCC(NC2C)(C)C)O)=CC(Cl)=C1
DFTUMNXENRXPEC-UHFFFAOYNA-N,CHEMBL2407335,6530,A,6.96,chembl20,974162,9606,SLC6A2,4059,C1(CCNCC1)C(C2=CC(=C(C=C2)Cl)Cl)CO
DZULEPZTNHLZTO-UHFFFAOYNA-N,11231488,6530,A,7.73283,pubchem,261029,9606,SLC6A2,4059,ClC=1C=C(C(=O)C(N2CCCC2)CC)C=CC1Cl
DZLHSFJMKLMKMN-UHFFFAOYNA-N,CHEMBL152842,6530,A,6,chembl20,193312,9606,SLC6A2,4059,N1(C=CC=2C1=CC=CC2)N(C=3C=CN=CC3)C
DWYHGLITTDOCLO-UHFFFAOYNA-N,44411139,6530,A,8.48149,pubchem,264863,9606,SLC6A2,4059,N(C1CCNCC1)(CC(C)C)CC=2C(=CC=CC2)C
FFPZKPBDKMJMOH-UHFFFAOYNA-N,CHEMBL1683888,6530,A,7.59,chembl20,726927,9606,SLC6A2,4059,C1CCCCC1(C2=CC=C(C(=C2)F)Cl)CN(C)C
FIIZGBLPZZYXCS-UHFFFAOYNA-N,CHEMBL463585,6530,A,8.05,chembl20,493416,9606,SLC6A2,4059,C=1(C=C2C=CNC2=CC1)C3(CCNC3)CCCC
FGMVBSZPVPCFKQ-UHFFFAOYNA-N,CHEMBL1683889,6530,A,8,chembl20,726927,9606,SLC6A2,4059,C1CCCCC1(C2=CC=C(C(=C2)Cl)F)CN(C)C
FDCLNKXJEZCPEW-UHFFFAOYNA-N,CHEMBL203562,6530,A,7.91,chembl20,334929,9606,SLC6A2,4059,C1CN(C(CCC)C(C=2C=CC(=CC2)CO)=O)CC1
FOEJRTWJHDIANT-UHFFFAOYNA-N,CHEMBL464422,6530,A,6.32,chembl20,543533,9606,SLC6A2,4059,C=1C(=CC(CCC2OC(CC2)CCN)=C(C1)OC)F
BSMNRYCSBFHEMQ-GZMMTYOYNA-N,11637190,6530,A,7.23003,pubchem,491801,9606,SLC6A2,4059,ClC=1C=C([C@@]23[C@@H](C2)CNC3)C=CC1Cl
BSMNRYCSBFHEMQ-KCJUWKMLNA-N,11658655,6530,A,7.64207,pubchem,343842,9606,SLC6A2,4059,ClC=1C=C([C@]23[C@H](C2)CNC3)C=CC1Cl
BSYKAWMTFFQDNB-UHFFFAOYNA-N,44455761,6530,A,7.30103,pubchem,339488,9606,SLC6A2,4059,ClC=1C=C(OC=2C(CN(C)C)=CC=CC2)C=CC1
BQLSUBYYRRZHRK-UHFFFAOYNA-N,CHEMBL203640,6530,A,6.77,chembl20,334929,9606,SLC6A2,4059,C1CN(C(CCC)C(=O)C=2C=CC(=CC2)F)CC1
BVTKYAZPIRQNNS-UHFFFAOYNA-N,CHEMBL504028,6530,A,7.24,chembl20,541290,9606,SLC6A2,4059,C1=C(C2OC(CC2)CN)C=CC=3C1=CC=CC3
HTPMGMNTQRVWNC-UHFFFAOYNA-N,CHEMBL208444,6530,A,7.37,chembl20,355136,9606,SLC6A2,4059,C1(CN(CC(C)C)C2CCNCC2)=CC=CC(F)=C1
HWJCHTVVHUINLQ-UHFFFAOYNA-N,CHEMBL1224024,6530,A,7.9,chembl20,652283,9606,SLC6A2,4059,C1CCC(CCC)(C(=O)C=2C=CC(=C(C2)Cl)Cl)N1
HFXCUJLZEIBVQQ-UHFFFAOYNA-N,CHEMBL1323615,6530,A,5.4,chembl20,737553,9606,SLC6A2,4059,S1C2=C(N(C=3C1=CC=CC3)C)C=CC(N)=C2
XBLJZKGUMJUESI-UHFFFAOYNA-N,CHEMBL261465,6530,A,6.44,chembl20,473951,9606,SLC6A2,4059,C=1C(=C(C=CC1)CC)OC2=CC(=NC=C2CNC)C
XKJCOYRPPROVNI-UHFFFAOYNA-N,CHEMBL208121,6530,A,8.19,chembl20,355136,9606,SLC6A2,4059,C1(CN(CCC)C2CCNCC2)=CC=CC=C1C(F)(F)F
HFDKMRZLKAZCKK-UHFFFAOYNA-N,CHEMBL256020,6530,A,6.77,chembl20,469334,9606,SLC6A2,4059,N1(C(C2(CC2CN)C3=CC=CC=C3)=O)CCCCC1
HFIXKYCVEYCJOY-UHFFFAOYNA-N,CHEMBL493384,6530,N,4.71,chembl20,555733,9606,SLC6A2,4059,C=1C=C(CCN(CCN2CCCCC2)C)C=CC1OC
HHSYAWUBPBEDMP-UHFFFAOYNA-N,CHEMBL204254,6530,A,8.03,chembl20,334929,9606,SLC6A2,4059,C1CN(C(CCC)C(=O)C2=CC(=CC=C2)C)CC1
IGLGUIUKOKVKCJ-UHFFFAOYNA-N,CHEMBL232870,6530,N,3.5,chembl20,444201,9606,SLC6A2,4059,C1CC=C(C=2C=CC(=CC2)Cl)C(C(OC)=O)C1
IGNDYXSKELQDJB-UHFFFAOYNA-N,CHEMBL256511,6530,A,6.61,chembl20,479729,9606,SLC6A2,4059,N1=CC(CNC)=C(OC2=CC=C(C=C2C)Cl)C=C1
IISBACLAFKSPIT-UHFFFAOYNA-N,CHEMBL418971,6530,N,4.78,chembl20,774705,9606,SLC6A2,4059,OC1=CC=C(C=C1)C(C=2C=CC(=CC2)O)(C)C
